2026-05-18 20:16:50,939 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:51,049 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:51,049 | CAMERA_MANAGER | INFO | c1 sent 60 frames
2026-05-18 20:16:51,064 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:51,064 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:51,075 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:51,075 | CAMERA_MANAGER | INFO | c3 sent 60 frames
2026-05-18 20:16:51,178 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:51,196 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:51,202 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:51,202 | CAMERA_MANAGER | INFO | c4 sent 60 frames
2026-05-18 20:16:51,221 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:51,299 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:51,331 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:51,361 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:51,467 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:51,481 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:51,490 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:51,498 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:51,567 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:51,604 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:51,618 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:51,635 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:51,714 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:51,745 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:51,763 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:51,780 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:51,863 | CAMERA_MANAGER | INFO | Sending frame from c1
