2026-06-01 19:29:51,233 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,256 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,272 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,285 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,302 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,317 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,383 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,388 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,448 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,448 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,461 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,476 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,493 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,517 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,528 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,532 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,578 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,589 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,645 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,664 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,719 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,733 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,750 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,775 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,829 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,858 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,879 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,899 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,911 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,911 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,932 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,932 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,959 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,959 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,991 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:51,991 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,007 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,076 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,076 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,088 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,114 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,120 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,143 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,143 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,143 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,153 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,159 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,171 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,171 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,194 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,239 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,239 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-06-01 19:29:52,275 | ROI | INFO | Saved To Redis : fire_smoke_frames
